                                                                                                       16 Jul 2020 15:26:21
Civil Air Patrol Use Only
Satellite-geo:  J2000 Position & Velocity


       Time (UTCG)              x (km)            y (km)            z (km)        vx (km/sec)    vy (km/sec)    vz (km/sec)
11 Jul 2019 08:48:00.000    -335310.596363    -302935.761194     -38309.544725       0.510562      -0.652319      -0.149468
11 Jul 2019 13:36:00.000    -326205.576448    -313951.849872     -40907.186986       0.543059      -0.622703      -0.151154
11 Jul 2019 18:24:00.000    -316549.341793    -324456.579006     -43532.206838       0.574363      -0.593122      -0.152627
11 Jul 2019 23:12:00.000    -306362.372940    -334449.907266     -46180.409872       0.604490      -0.563501      -0.153830
12 Jul 2019 04:00:00.000    -295664.851232    -343930.528299     -48846.779769       0.633458      -0.533769      -0.154723
12 Jul 2019 08:48:00.000    -284476.653732    -352895.916554     -51525.694790       0.661284      -0.503857      -0.155278
12 Jul 2019 13:36:00.000    -272817.370852    -361342.408008     -54211.107481       0.687984      -0.473701      -0.155473
12 Jul 2019 18:24:00.000    -260706.343954    -369265.300496     -56896.685199       0.713571      -0.443246      -0.155295
12 Jul 2019 23:12:00.000    -248162.716820    -376658.961500     -59575.917685       0.738055      -0.412440      -0.154737
13 Jul 2019 04:00:00.000    -235205.497565    -383516.939431     -62242.196949       0.761441      -0.381239      -0.153796
13 Jul 2019 08:48:00.000    -221853.627077    -389832.071631     -64888.874199       0.783732      -0.349604      -0.152469
13 Jul 2019 13:36:00.000    -208126.050812    -395596.587487     -67509.299834       0.804925      -0.317505      -0.150757
13 Jul 2019 18:24:00.000    -194041.792863    -400802.206792     -70096.848920       0.825013      -0.284913      -0.148664
13 Jul 2019 23:12:00.000    -179620.029090    -405440.231336     -72644.938218       0.843986      -0.251808      -0.146191
14 Jul 2019 04:00:00.000    -164880.159812    -409501.632526     -75147.034799       0.861828      -0.218172      -0.143341
14 Jul 2019 08:48:00.000    -149841.879766    -412977.134270     -77596.661150       0.878520      -0.183994      -0.140118
14 Jul 2019 13:36:00.000    -134525.245682    -415857.293315     -79987.396259       0.894041      -0.149266      -0.136526
14 Jul 2019 18:24:00.000    -118950.740217    -418132.577585     -82312.876045       0.908362      -0.113985      -0.132566
